categorie,id_categorie,id_sous_categorie,id_sous_sous_categorie,lien_categorie,lien_sous_categorie,lien_sous_sous_categorie,sous_categorie,sous_sous_categorie
Electroportatif,category-5020,category-5021,category-1566,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/machine-multifonction,Autre outil électroportatif,Machine multifonction
Electroportatif,category-5020,category-5021,category-1563,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rabot,Autre outil électroportatif,Rabot
Electroportatif,category-5020,category-5021,category-1564,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/defonceuse,Autre outil électroportatif,Défonceuse
Electroportatif,category-5020,category-5021,category-1565,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/melangeur-turbine,Autre outil électroportatif,Mélangeur-Turbine
Electroportatif,category-5020,category-5021,category-1567,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/pistolet-a-peinture,Autre outil électroportatif,Pistolet à peinture
Electroportatif,category-5020,category-5021,category-1568,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decoupeur,Autre outil électroportatif,Découpeur
Electroportatif,category-5020,category-5021,category-1569,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decapeur,Autre outil électroportatif,Décapeur
Electroportatif,category-5020,category-5021,category-1570,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decolleuse,Autre outil électroportatif,Décolleuse
Electroportatif,category-5020,category-5021,category-1571,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/aspirateur,Autre outil électroportatif,Aspirateur
Electroportatif,category-5020,category-5021,category-1572,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/spatule,Autre outil électroportatif,Spatule
Electroportatif,category-5020,category-5021,category-1573,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/fraise-a-lamelle,Autre outil électroportatif,Fraise à lamelle
Electroportatif,category-5020,category-5021,category-1574,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rainureuse,Autre outil électroportatif,Rainureuse
Electroportatif,category-5020,category-5021,category-1575,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/chargeur-batterie,Autre outil électroportatif,Chargeur-Batterie
Electroportatif,category-5020,category-5021,category-1584,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/accessoires-compresseur,Autre outil électroportatif,Accessoires compresseur
Electroportatif,category-5020,category-5021,category-1703,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/machine-a-bois,Autre outil électroportatif,Machine à bois
Electroportatif,category-5020,category-5021,category-1576,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/coupe-carrelage,Autre outil électroportatif,Coupe carrelage
Electroportatif,category-5020,category-5021,category-1577,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/tour-touret--rabot,Autre outil électroportatif,Tour-Touret- Rabot
Electroportatif,category-5020,category-5021,category-1578,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/perceuse-a-colonne,Autre outil électroportatif,Perceuse à colonne
Electroportatif,category-5020,category-5021,category-1579,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-d-aspiration,Autre outil électroportatif,Groupe d'aspiration
Electroportatif,category-5020,category-5021,category-1580,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/scie-stationnaire,Autre outil électroportatif,Scie stationnaire
Electroportatif,category-5020,category-5021,category-1581,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/ponceuse-fraiseuse,Autre outil électroportatif,Ponceuse-Fraiseuse
Electroportatif,category-5020,category-5021,category-203,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-electrogene,Autre outil électroportatif,Groupe électrogène
