identifiant,nom_categorie,type_cat,url,id_parent
ui-id-6,Bricolage,CAT,https://www.lamaison.fr/bricolage.html,
ui-id-17,Outillage,S_CAT,https://www.lamaison.fr/bricolage/outillage.html,ui-id-6
ui-id-27,Outil électroportatif,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/outil-electroportatif.html,ui-id-17
ui-id-28,Outillage à main,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/outillage-a-main.html,ui-id-17
ui-id-29,Machine d'atelier,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/machine-d-atelier.html,ui-id-17
ui-id-30,Matériel de chantier,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/materiel-de-chantier.html,ui-id-17
ui-id-31,Matériel de nettoyage,PAGE_LIST,https://www.lamaison.fr/bricolage/outillage/materiel-de-nettoyage.html,ui-id-17
ui-id-18,Echelle et brouette,S_CAT,https://www.lamaison.fr/bricolage/echelle-et-brouette.html,ui-id-6
ui-id-32,Echelle,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/echelle.html,ui-id-18
ui-id-33,Escabeau,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/escabeau.html,ui-id-18
ui-id-34,Echafaudage,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/echafaudage.html,ui-id-18
ui-id-35,Brouette,PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/brouette.html,ui-id-18
ui-id-36,"Diable, chariot de manutention",PAGE_LIST,https://www.lamaison.fr/bricolage/echelle-et-brouette/diable-chariot-de-manutention.html,ui-id-18
ui-id-19,"Electricité, Domotique et Sécurité",S_CAT,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite.html,ui-id-6
ui-id-37,Eclairage,PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/eclairage.html,ui-id-19
ui-id-38,"Énergie solaire, photovoltaïque",PAGE_LIST,https://www.lamaison.fr/bricolage/electricite-domotique-et-securite/energie-solaire-photovoltaique.html,ui-id-19
